iter	Passed	Remaining
0	1	141
1	2	129
2	3	122
3	4	114
4	6	114
5	7	113
6	8	112
7	9	111
8	10	109
9	11	107
10	13	106
11	14	105
12	15	106
13	17	104
14	18	103
15	19	102
16	20	101
17	21	99
18	23	98
19	24	96
20	25	95
21	26	93
22	27	92
23	29	92
24	30	91
25	31	90
26	33	89
27	34	88
28	35	86
29	36	85
30	37	84
31	39	83
32	40	81
33	41	80
34	42	78
35	43	77
36	44	76
37	46	75
38	47	74
39	48	72
40	49	71
41	50	69
42	51	68
43	52	66
44	53	65
45	54	64
46	56	63
47	57	62
48	58	61
49	59	59
50	60	58
51	62	57
52	63	56
53	64	54
54	65	53
55	66	52
56	67	50
57	68	49
58	69	48
59	71	47
60	72	46
61	73	45
62	74	43
63	75	42
64	77	41
65	78	40
66	79	39
67	80	37
68	81	36
69	82	35
70	84	34
71	85	33
72	86	31
73	87	30
74	88	29
75	90	28
76	91	27
77	92	26
78	93	24
79	94	23
80	95	22
81	97	21
82	98	20
83	99	18
84	100	17
85	101	16
86	102	15
87	104	14
88	105	12
89	106	11
90	107	10
91	108	9
92	109	8
93	110	7
94	112	5
95	113	4
96	114	3
97	115	2
98	116	1
99	117	0
