iter	Passed	Remaining
0	208	208554
1	211	105322
2	212	70756
3	215	53741
4	217	43320
5	220	36545
6	222	31538
7	224	27783
8	226	24930
9	249	24671
10	255	22985
11	257	21208
12	263	19986
13	270	19068
14	272	17892
15	274	16859
16	278	16086
17	279	15266
18	283	14655
19	285	13998
20	287	13406
21	296	13168
22	298	12693
23	304	12373
24	308	12015
25	312	11694
26	316	11404
27	318	11070
28	336	11277
29	343	11114
30	347	10873
31	349	10578
32	351	10286
33	352	10014
34	364	10036
35	366	9810
36	385	10027
37	386	9797
38	389	9591
39	397	9539
40	403	9442
41	407	9295
42	409	9117
43	442	9624
44	448	9524
45	453	9399
46	455	9232
47	457	9069
48	502	9751
49	505	9605
50	507	9444
51	509	9283
52	513	9177
53	515	9028
54	518	8908
55	522	8812
56	527	8719
57	528	8589
58	531	8482
59	535	8393
60	537	8276
61	546	8268
62	551	8204
63	553	8088
64	554	7976
65	564	7988
66	569	7929
67	579	7947
68	585	7902
69	612	8132
70	626	8198
71	628	8099
72	652	8287
73	655	8203
74	662	8170
75	668	8126
76	677	8115
77	679	8033
78	683	7965
79	686	7890
80	688	7806
81	689	7722
82	707	7817
83	712	7771
84	731	7877
85	735	7820
86	738	7750
87	746	7737
88	753	7715
89	764	7729
90	769	7683
91	774	7640
92	776	7572
93	778	7499
94	792	7551
95	794	7480
96	801	7461
97	803	7393
98	812	7394
99	814	7327
100	829	7386
101	831	7319
102	832	7253
103	837	7214
104	838	7150
105	840	7092
106	855	7140
107	864	7144
108	866	7085
109	872	7062
110	874	7003
111	883	7006
112	888	6971
113	894	6952
114	897	6905
115	898	6850
116	910	6875
117	914	6837
118	936	6930
119	938	6883
120	943	6851
121	951	6849
122	953	6796
123	961	6794
124	976	6832
125	979	6793
126	984	6765
127	987	6729
128	993	6705
129	994	6658
130	1000	6639
131	1003	6596
132	1009	6578
133	1010	6532
134	1018	6528
135	1023	6505
136	1025	6460
137	1026	6414
138	1032	6395
139	1035	6363
140	1038	6326
141	1039	6280
142	1044	6259
143	1045	6216
144	1047	6174
145	1052	6154
146	1053	6112
147	1054	6071
148	1057	6040
149	1059	6006
150	1063	5980
151	1064	5940
152	1066	5904
153	1067	5864
154	1070	5835
155	1073	5806
156	1076	5777
157	1079	5750
158	1080	5713
159	1081	5677
160	1084	5653
161	1086	5620
162	1087	5586
163	1097	5594
164	1102	5581
165	1105	5556
166	1113	5552
167	1117	5536
168	1119	5503
169	1121	5475
170	1123	5445
171	1124	5413
172	1125	5381
173	1130	5366
174	1132	5340
175	1134	5310
176	1137	5288
177	1139	5263
178	1140	5233
179	1145	5216
180	1147	5192
181	1151	5173
182	1154	5153
183	1155	5124
184	1159	5110
185	1165	5099
186	1168	5078
187	1169	5052
188	1176	5046
189	1177	5020
190	1184	5018
191	1190	5011
192	1195	4998
193	1202	4995
194	1208	4988
195	1216	4990
196	1218	4966
197	1223	4957
198	1225	4930
199	1226	4904
200	1230	4891
201	1232	4867
202	1233	4842
203	1234	4818
204	1239	4805
205	1241	4786
206	1245	4770
207	1247	4750
208	1248	4726
209	1253	4713
210	1256	4697
211	1260	4685
212	1262	4662
213	1263	4640
214	1264	4618
215	1270	4610
216	1278	4614
217	1280	4594
218	1285	4583
219	1286	4562
220	1289	4543
221	1292	4528
222	1294	4509
223	1295	4486
224	1296	4465
225	1300	4452
226	1302	4435
227	1306	4423
228	1308	4406
229	1310	4386
230	1316	4382
231	1317	4362
232	1327	4369
233	1333	4364
234	1340	4364
235	1347	4361
236	1353	4357
237	1357	4345
238	1364	4345
239	1367	4329
240	1371	4320
241	1373	4303
242	1387	4322
243	1388	4303
244	1402	4320
245	1404	4304
246	1419	4327
247	1430	4336
248	1432	4320
249	1433	4300
250	1435	4282
251	1436	4263
252	1439	4248
253	1443	4238
254	1445	4223
255	1450	4216
256	1452	4198
257	1454	4183
258	1464	4190
259	1491	4245
260	1499	4245
261	1500	4227
262	1506	4221
263	1509	4207
264	1512	4195
265	1514	4180
266	1520	4175
267	1522	4158
268	1528	4152
269	1532	4142
270	1537	4135
271	1538	4118
272	1540	4101
273	1547	4100
274	1548	4082
275	1555	4080
276	1561	4074
277	1563	4060
278	1564	4043
279	1566	4029
280	1568	4013
281	1602	4079
282	1604	4065
283	1620	4085
284	1648	4135
285	1650	4120
286	1652	4105
287	1661	4107
288	1670	4110
289	1682	4120
290	1687	4111
291	1689	4096
292	1696	4093
293	1705	4095
294	1712	4091
295	1727	4107
296	1733	4102
297	1740	4099
298	1742	4085
299	1754	4094
300	1759	4085
301	1809	4183
302	1839	4230
303	1847	4229
304	1869	4260
305	1885	4275
306	1886	4259
307	1892	4252
308	1896	4240
309	1900	4229
310	1902	4214
311	1904	4198
312	1905	4182
313	1938	4235
314	1940	4218
315	1947	4215
316	1955	4214
317	1960	4204
318	1962	4188
319	1982	4212
320	1986	4202
321	1992	4195
322	1994	4179
323	1995	4163
324	1997	4148
325	2002	4139
326	2003	4123
327	2006	4111
328	2021	4123
329	2024	4110
330	2026	4095
331	2028	4081
332	2080	4167
333	2095	4178
334	2106	4182
335	2121	4193
336	2125	4180
337	2132	4177
338	2134	4161
339	2171	4216
340	2174	4202
341	2179	4192
342	2182	4180
343	2185	4167
344	2195	4167
345	2198	4154
346	2216	4170
347	2219	4157
348	2221	4143
349	2251	4181
350	2259	4177
351	2260	4161
352	2265	4152
353	2269	4141
354	2275	4133
355	2277	4119
356	2282	4111
357	2377	4263
358	2408	4300
359	2413	4289
360	2415	4275
361	2445	4309
362	2462	4321
363	2494	4357
364	2496	4343
365	2499	4328
366	2506	4323
367	2608	4480
368	2615	4471
369	2623	4466
370	2687	4556
371	2692	4545
372	2697	4533
373	2703	4524
374	2705	4508
375	2711	4499
376	2725	4504
377	2739	4508
378	2794	4579
379	2801	4571
380	2810	4566
381	2818	4559
382	2819	4542
383	2827	4535
384	2834	4528
385	2839	4516
386	2868	4543
387	2893	4564
388	2897	4551
389	2908	4549
390	2911	4534
391	2925	4537
392	2931	4527
393	2944	4529
394	2950	4519
395	2956	4509
396	2964	4503
397	2966	4487
398	3097	4666
399	3130	4695
400	3141	4692
401	3143	4676
402	3145	4659
403	3147	4643
404	3150	4628
405	3156	4618
406	3235	4713
407	3238	4699
408	3248	4693
409	3256	4685
410	3295	4723
411	3320	4738
412	3334	4738
413	3336	4723
414	3378	4763
415	3401	4774
416	3425	4788
417	3426	4771
418	3454	4789
419	3455	4772
420	3467	4768
421	3474	4758
422	3481	4748
423	3482	4731
424	3485	4715
425	3518	4740
426	3524	4729
427	3553	4749
428	3565	4745
429	3568	4730
430	3573	4717
431	3582	4710
432	3584	4693
433	3599	4694
434	3603	4680
435	3609	4669
436	3611	4653
437	3630	4658
438	3633	4643
439	3637	4629
440	3645	4620
441	3680	4646
442	3682	4630
443	3685	4614
444	3691	4603
445	3724	4626
446	3730	4615
447	3735	4602
448	3814	4680
449	3847	4702
450	3853	4691
451	3856	4675
452	3862	4664
453	3865	4648
454	3874	4640
455	3878	4626
456	3903	4637
457	3905	4621
458	3906	4604
459	3908	4588
460	3921	4585
461	3923	4568
462	3937	4567
463	3940	4551
464	3962	4559
465	3968	4547
466	3969	4530
467	3972	4515
468	4018	4549
469	4023	4537
470	4099	4604
471	4126	4616
472	4128	4599
473	4131	4585
474	4133	4568
475	4136	4553
476	4168	4570
477	4170	4554
478	4171	4537
479	4174	4522
480	4231	4566
481	4235	4551
482	4239	4537
483	4302	4586
484	4318	4586
485	4325	4575
486	4330	4561
487	4332	4545
488	4334	4529
489	4340	4517
490	4343	4502
491	4346	4487
492	4349	4473
493	4361	4467
494	4381	4470
495	4460	4532
496	4462	4515
497	4464	4500
498	4491	4509
499	4497	4497
500	4594	4576
501	4597	4561
502	4606	4551
503	4610	4537
504	4613	4521
505	4625	4515
506	4750	4619
507	4753	4603
508	4756	4588
509	4758	4571
510	4760	4555
511	4856	4628
512	4871	4624
513	4886	4620
514	5033	4740
515	5035	4723
516	5038	4706
517	5040	4689
518	5043	4674
519	5074	4684
